        //Th[K]         P[Pa]    H[J/kg]      Cp_eq[J/kg-K]  mu[Pa-s]       lambda[W/m-K]  rho[kg/m^3]
          5790          4000   2.25689e+07        17904.3   0.000162217        3.87045    0.00154117
          5840          4000   2.34717e+07        18190.9   0.000163566        3.90644    0.00150454
          5890          4000    2.4386e+07        18358.2   0.000164938        3.91672    0.00146897
          5940          4000   2.53054e+07        18397.9   0.000166329        3.90051    0.00143458
          5990          4000   2.62235e+07        18305.2   0.000167738        3.85788    0.00140147
          6040          4000   2.71337e+07        18079.7     0.0001691        3.78766    0.00136975
          6090          4000   2.80294e+07        17725.4   0.000170453        3.69318    0.00133948
          6140          4000   2.89042e+07        17251.1   0.000171809        3.57742    0.00131071
          6190          4000   2.97527e+07        16669.3   0.000173164        3.44346    0.00128347
          6240          4000   3.05696e+07        15995.9   0.000174515         3.2948    0.00125777
          6290          4000    3.1351e+07        15249.2   0.000175859        3.13519    0.00123358
          6340          4000   3.20937e+07        14448.6   0.000177194        2.96841    0.00121086
          6390          4000   3.27953e+07        13613.6   0.000178516        2.79808    0.00118956
          6440          4000   3.34548e+07          12763   0.000179826        2.62753    0.00116963
          6490          4000   3.40716e+07        11913.5   0.000181121         2.4597    0.00115097
          6540          4000   3.46464e+07        11079.8   0.000182401        2.29699    0.00113352
          6590          4000   3.51801e+07          10274   0.000183666        2.14135    0.00111718
          6640          4000   3.56744e+07        9505.26   0.000184916        1.99419    0.00110187
          6690          4000   3.61313e+07        8780.39   0.000186152        1.85648     0.0010875
          6740          4000   3.65532e+07        8103.72   0.000187374        1.72878    0.00107399
          6790          4000   3.69426e+07        7477.56   0.000188582        1.61128    0.00106127
          6840          4000   3.73018e+07        6902.52   0.000189778        1.50393    0.00104926
          6890          4000   3.76337e+07        6377.87   0.000190963        1.40645    0.00103789
          6940          4000   3.79404e+07        5901.87   0.000192138        1.31839     0.0010271
          6990          4000   3.82246e+07        5472.08   0.000193304        1.23922    0.00101683
          7040          4000   3.84884e+07        5085.58   0.000194462        1.16834    0.00100704
          7090          4000   3.87338e+07        4739.22   0.000195612         1.1051   0.000997672
          7140          4000   3.89629e+07         4429.7   0.000196756        1.04887    0.00098869
          7190          4000   3.91774e+07        4153.76   0.000197894        0.99901   0.000980056
          7240          4000   3.93788e+07        3908.25   0.000199027       0.954924   0.000971738
          7290          4000   3.95686e+07        3690.15   0.000200157       0.916039   0.000963707
          7340          4000   3.97482e+07        3496.65   0.000201282       0.881826   0.000955937
          7390          4000   3.99187e+07        3325.14   0.000202405       0.851795   0.000948405
          7440          4000   4.00811e+07        3173.24   0.000203526         0.8255   0.000941091
          7490          4000   4.02363e+07        3038.79   0.000204644       0.802535   0.000933977
          7540          4000   4.03852e+07        2919.82   0.000205762       0.782535   0.000927048
          7590          4000   4.05285e+07        2814.58   0.000206878       0.765171   0.000920289
          7640          4000   4.06669e+07         2721.5   0.000207993       0.750148   0.000913688
          7690          4000   4.08008e+07        2639.18   0.000209109       0.737204   0.000907234
          7740          4000   4.09309e+07        2566.38   0.000210224       0.726106   0.000900918
          7790          4000   4.10576e+07        2501.98   0.000211339       0.716644    0.00089473
          7840          4000   4.11813e+07        2445.02   0.000212455       0.708635   0.000888663
          7890          4000   4.13022e+07        2394.62   0.000213571       0.701915    0.00088271
          7940          4000   4.14208e+07        2350.02   0.000214688       0.696339   0.000876864
          7990          4000   4.15373e+07        2310.55   0.000215807       0.691779   0.000871121
          8040          4000   4.16519e+07        2275.61   0.000216851       0.687868   0.000865474
          8090          4000   4.17649e+07        2244.69   0.000217876       0.684695    0.00085992
          8140          4000   4.18765e+07         2217.3   0.000218901       0.682234   0.000854455
          8190          4000   4.19867e+07        2193.05   0.000219927       0.680406   0.000849073
          8240          4000   4.20958e+07        2171.58   0.000220953        0.67914   0.000843773
          8290          4000   4.22039e+07        2152.57   0.000221979       0.678373   0.000838551
          8340          4000   4.23111e+07        2135.73   0.000223006       0.678052   0.000833404
          8390          4000   4.24175e+07        2120.83   0.000224034       0.678126    0.00082833
          8440          4000   4.25232e+07        2107.63   0.000225062       0.678552   0.000823326
          8490          4000   4.26283e+07        2095.96   0.000226091       0.679293   0.000818389
          8540          4000   4.27328e+07        2085.63   0.000227121       0.680314   0.000813519
          8590          4000   4.28369e+07         2076.5   0.000228152       0.681585   0.000808712
          8640          4000   4.29405e+07        2068.43   0.000229184       0.683079   0.000803967
          8690          4000   4.30438e+07         2061.3   0.000230217       0.684773   0.000799282
          8740          4000   4.31467e+07        2055.01   0.000231252       0.686644   0.000794657
          8790          4000   4.32493e+07        2049.47   0.000232287       0.688674   0.000790088
          8840          4000   4.33516e+07        2044.58   0.000233324       0.690846   0.000785575
          8890          4000   4.34537e+07        2040.29   0.000234361       0.693145   0.000781117
          8940          4000   4.35557e+07        2036.52     0.0002354       0.695558   0.000776712
          8990          4000   4.36574e+07        2033.22   0.000236441       0.698073   0.000772359
          9040          4000    4.3759e+07        2030.33   0.000237483       0.700679   0.000768057
          9090          4000   4.38604e+07         2027.8   0.000238526       0.703367   0.000763805
          9140          4000   4.39618e+07        2025.61    0.00023957       0.706127   0.000759601
          9190          4000    4.4063e+07         2023.7   0.000240617       0.708954   0.000755446
          9240          4000   4.41641e+07        2022.05   0.000241664       0.711839   0.000751337
          9290          4000   4.42652e+07        2020.63   0.000242713       0.714776   0.000747274
          9340          4000   4.43662e+07        2019.41   0.000243764       0.717761   0.000743256
          9390          4000   4.44672e+07        2018.38   0.000244816       0.720789   0.000739282
          9440          4000    4.4568e+07         2017.5    0.00024587       0.723854   0.000735351
          9490          4000   4.46689e+07        2016.76   0.000246926       0.726953   0.000731463
          9540          4000   4.47697e+07        2016.15   0.000247983       0.730084   0.000727617
          9590          4000   4.48705e+07        2015.64   0.000249042       0.733242   0.000723812
          9640          4000   4.49713e+07        2015.24   0.000250103       0.736424   0.000720047
          9690          4000    4.5072e+07        2014.92   0.000251165       0.739629   0.000716322
          9740          4000   4.51728e+07        2014.67    0.00025223       0.742854   0.000712636
          9790          4000   4.52735e+07        2014.49   0.000253296       0.746098   0.000708988
          9840          4000   4.53742e+07        2014.36   0.000254364       0.749357   0.000705378
          9890          4000    4.5475e+07        2014.28   0.000255434       0.752632   0.000701804
          9940          4000   4.55757e+07        2014.25   0.000256505        0.75592   0.000698268
          9990          4000   4.56764e+07        2014.25   0.000257579        0.75922   0.000694767
         10040          4000   4.57771e+07        2014.29   0.000258556       0.762236   0.000691301
         10090          4000   4.58778e+07        2014.35    0.00025951       0.765186    0.00068787
         10140          4000   4.59785e+07        2014.43   0.000260464       0.768142   0.000684474
         10190          4000   4.60792e+07        2014.54   0.000261418       0.771102   0.000681111
         10240          4000     4.618e+07        2014.65   0.000262374       0.774067   0.000677781
         10290          4000   4.62807e+07        2014.79    0.00026333       0.777035   0.000674483
         10340          4000   4.63815e+07        2014.93   0.000264287       0.780006   0.000671218
         10390          4000   4.64822e+07        2015.08   0.000265244       0.782979   0.000667985
