        //Th[K]         P[Pa]    H[J/kg]      Cp_eq[J/kg-K]  mu[Pa-s]       lambda[W/m-K]  rho[kg/m^3]
          2240          6000   2.37134e+06           1706   7.74591e-05       0.213217    0.00926477
          2290          6000   2.45917e+06        1810.05   7.85646e-05       0.234589    0.00905257
          2340          6000   2.55268e+06        1933.62   7.96765e-05       0.260012     0.0088468
          2390          6000   2.65289e+06        2078.76   8.07975e-05       0.289971    0.00864658
          2440          6000   2.76094e+06         2247.2   8.19304e-05       0.324888    0.00845105
          2490          6000   2.87802e+06        2440.15   8.30785e-05       0.365075     0.0082594
          2540          6000   3.00537e+06        2658.03    8.4245e-05       0.410679    0.00807089
          2590          6000   3.14423e+06        2900.17   8.54333e-05       0.461605    0.00788486
          2640          6000   3.29576e+06        3164.47   8.66466e-05       0.517444    0.00770076
          2690          6000   3.46098e+06        3447.06   8.78877e-05       0.577389    0.00751817
          2740          6000   3.64067e+06         3741.9   8.91589e-05       0.640158    0.00733682
          2790          6000   3.83524e+06         4040.5   9.04619e-05       0.703945    0.00715667
          2840          6000    4.0446e+06        4331.83   9.17969e-05       0.766402    0.00697786
          2890          6000   4.26807e+06        4602.48    9.3163e-05       0.824698    0.00680076
          2940          6000   4.50425e+06        4837.23   9.45577e-05       0.875656    0.00662599
          2990          6000   4.75093e+06        5020.22    9.5977e-05       0.916018    0.00645436
          3040          6000   5.00516e+06        5136.67   9.74153e-05         0.9428    0.00628682
          3090          6000    5.2633e+06        5175.08   9.88661e-05       0.953738    0.00612443
          3140          6000   5.52126e+06        5129.41   0.000100322       0.947707    0.00596822
          3190          6000   5.77485e+06        5000.81   0.000101775       0.925034     0.0058191
          3240          6000   6.02011e+06        4798.21   0.000103219       0.887568    0.00567779
          3290          6000    6.2537e+06        4537.24   0.000104649       0.838455    0.00554475
          3340          6000   6.47319e+06        4237.94   0.000106059       0.781661    0.00542009
          3390          6000   6.67721e+06         3921.5   0.000107448       0.721355    0.00530367
          3440          6000   6.86538e+06        3607.33   0.000108814       0.661339    0.00519509
          3490          6000   7.03824e+06         3310.9   0.000110159       0.604652    0.00509378
          3540          6000   7.19695e+06        3042.86   0.000111484       0.553405    0.00499906
          3590          6000    7.3431e+06         2809.2   0.000112791       0.508818    0.00491023
          3640          6000   7.47848e+06        2612.15   0.000114082       0.471384     0.0048266
          3690          6000   7.60492e+06        2451.25   0.000115359       0.441081    0.00474752
          3740          6000   7.72417e+06        2324.45   0.000116625        0.41757     0.0046724
          3790          6000   7.83788e+06        2228.93   0.000117883       0.400363    0.00460075
          3840          6000   7.94754e+06        2161.67   0.000119133       0.388931    0.00453212
          3890          6000   8.05447e+06        2119.86   0.000120378        0.38278    0.00446613
          3940          6000   8.15991e+06        2101.07   0.000121619       0.381491    0.00440245
          3990          6000   8.26493e+06        2103.33   0.000122857       0.384735    0.00434081
          4040          6000   8.37056e+06        2125.17    0.00012395        0.39207    0.00428095
          4090          6000   8.47776e+06        2165.54   0.000125002        0.40343    0.00422267
          4140          6000   8.58742e+06        2223.81   0.000126049       0.418794    0.00416577
          4190          6000   8.70043e+06         2299.7   0.000127093       0.438176    0.00411009
          4240          6000   8.81768e+06        2393.24   0.000128134       0.461646    0.00405547
          4290          6000   8.94005e+06         2504.7   0.000129172       0.489332    0.00400176
          4340          6000   9.06846e+06        2634.59   0.000130208       0.521404    0.00394885
          4390          6000   9.20383e+06        2783.58   0.000131243       0.558072     0.0038966
          4440          6000   9.34715e+06        2952.48   0.000132277       0.599574    0.00384489
          4490          6000   9.49943e+06        3142.23    0.00013331       0.646171    0.00379361
          4540          6000   9.66174e+06        3353.88   0.000134342       0.698141    0.00374266
          4590          6000    9.8352e+06        3588.51   0.000135375       0.755771    0.00369192
          4640          6000    1.0021e+07        3847.27   0.000136409       0.819348    0.00364131
          4690          6000   1.02203e+07        4131.32   0.000137443       0.889154    0.00359072
          4740          6000   1.04346e+07        4441.81    0.00013848       0.965455    0.00354006
          4790          6000    1.0665e+07        4779.84   0.000139519        1.04849    0.00348926
          4840          6000    1.0913e+07        5146.47    0.00014056        1.13846    0.00343821
          4890          6000   1.11801e+07         5542.6   0.000141606        1.23553    0.00338686
          4940          6000   1.14678e+07           5969   0.000142656        1.33979    0.00333513
          4990          6000   1.17775e+07        6426.25   0.000143712        1.45125    0.00328297
          5040          6000   1.21109e+07        6914.62   0.000144734        1.56933    0.00323033
          5090          6000   1.24695e+07        7434.07   0.000145753        1.69415    0.00317717
          5140          6000   1.28548e+07        7984.13   0.000146781         1.8255    0.00312346
          5190          6000   1.32684e+07        8563.84   0.000147818         1.9629    0.00306919
          5240          6000   1.37117e+07        9171.62   0.000148867        2.10571    0.00301437
          5290          6000    1.4186e+07        9805.18   0.000149928        2.25311      0.002959
          5340          6000   1.46926e+07        10461.4   0.000151004        2.40405    0.00290314
          5390          6000   1.52325e+07        11136.2   0.000152095        2.55728    0.00284682
          5440          6000   1.58064e+07        11824.6   0.000153205        2.71131    0.00279014
          5490          6000    1.6415e+07        12520.1   0.000154333        2.86442    0.00273317
          5540          6000   1.70585e+07        13215.5   0.000155482        3.01468    0.00267603
          5590          6000   1.77364e+07        13901.8   0.000156654         3.1599    0.00261885
          5640          6000   1.84483e+07        14569.2   0.000157848        3.29776    0.00256178
          5690          6000   1.91929e+07        15206.4   0.000159068        3.42578    0.00250498
          5740          6000   1.99683e+07        15801.5   0.000160313         3.5414    0.00244864
          5790          6000   2.07721e+07        16341.6   0.000161583        3.64208    0.00239292
          5840          6000   2.16013e+07        16813.7   0.000162878         3.7254    0.00233803
          5890          6000   2.24521e+07          17205   0.000164199        3.78913    0.00228417
          5940          6000   2.33202e+07        17503.7   0.000165544        3.83139    0.00223152
          5990          6000   2.42008e+07        17699.4    0.00016691        3.85075    0.00218026
          6040          6000   2.50883e+07        17783.9    0.00016824        3.84428    0.00213058
          6090          6000   2.59772e+07          17752   0.000169569        3.81332    0.00208261
          6140          6000   2.68615e+07        17601.7   0.000170909        3.75888    0.00203649
          6190          6000   2.77354e+07        17334.8   0.000172257        3.68214    0.00199232
          6240          6000   2.85932e+07        16956.7   0.000173609        3.58492    0.00195019
          6290          6000   2.94294e+07        16476.4   0.000174962        3.46963    0.00191014
          6340          6000   3.02393e+07          15906   0.000176313        3.33911    0.00187218
          6390          6000   3.10187e+07          15260   0.000177659        3.19648    0.00183632
          6440          6000   3.17643e+07        14554.3   0.000178999        3.04501    0.00180251
          6490          6000   3.24734e+07        13805.6   0.000180328        2.88796     0.0017707
          6540          6000   3.31444e+07        13030.5   0.000181647        2.72842    0.00174081
          6590          6000   3.37763e+07        12244.6   0.000182953        2.56919    0.00171276
          6640          6000   3.43689e+07        11461.9   0.000184246        2.41272    0.00168644
          6690          6000   3.49228e+07        10694.5   0.000185524        2.26106    0.00166174
          6740          6000   3.54388e+07        9952.57   0.000186789        2.11584    0.00163855
          6790          6000   3.59186e+07        9243.76    0.00018804        1.97827    0.00161676
          6840          6000   3.63638e+07        8573.77   0.000189277        1.84917    0.00159626
          6890          6000   3.67767e+07        7946.32   0.000190502        1.72903    0.00157694
          6940          6000   3.71592e+07        7363.49   0.000191714        1.61805    0.00155869
          6990          6000   3.75138e+07         6825.9   0.000192915         1.5162    0.00154143
          7040          6000   3.78426e+07        6333.09   0.000194105        1.42326    0.00152505
          7090          6000   3.81478e+07        5883.71   0.000195286        1.33888    0.00150949
          7140          6000   3.84316e+07         5475.8   0.000196458        1.26261    0.00149466
          7190          6000    3.8696e+07        5106.97   0.000197622        1.19395    0.00148049
          7240          6000   3.89429e+07        4774.57   0.000198779        1.13235    0.00146692
          7290          6000    3.9174e+07        4475.85    0.00019993        1.07725     0.0014539
          7340          6000    3.9391e+07        4208.02   0.000201076        1.02812    0.00144137
          7390          6000   3.95953e+07        3968.34   0.000202217       0.984414     0.0014293
          7440          6000   3.97883e+07         3754.2   0.000203354       0.945635    0.00141763
          7490          6000   3.99711e+07        3563.12   0.000204488       0.911306    0.00140635
          7540          6000   4.01449e+07        3392.79   0.000205619       0.880986     0.0013954
          7590          6000   4.03107e+07        3241.08   0.000206748        0.85427    0.00138477
          7640          6000   4.04693e+07        3106.04   0.000207874       0.830785    0.00137443
          7690          6000   4.06216e+07        2985.88      0.000209       0.810193    0.00136436
          7740          6000   4.07681e+07           2879   0.000210124       0.792189    0.00135454
          7790          6000   4.09097e+07        2783.94   0.000211248       0.776497    0.00134494
          7840          6000   4.10467e+07        2699.41   0.000212371       0.762868    0.00133556
          7890          6000   4.11798e+07        2624.24   0.000213495       0.751081    0.00132638
          7940          6000   4.13093e+07        2557.38   0.000214618       0.740937    0.00131739
          7990          6000   4.14356e+07        2497.91   0.000215742       0.732258    0.00130858
          8040          6000   4.15592e+07        2445.01   0.000216792       0.724622    0.00129993
          8090          6000   4.16802e+07        2397.93   0.000217822       0.718089    0.00129144
          8140          6000    4.1799e+07        2356.04   0.000218852       0.712596    0.00128309
          8190          6000   4.19159e+07        2318.74   0.000219881       0.708032    0.00127489
          8240          6000    4.2031e+07        2285.53   0.000220911       0.704296    0.00126682
          8290          6000   4.21445e+07        2255.96   0.000221941       0.701298    0.00125889
          8340          6000   4.22566e+07        2229.61   0.000222971        0.69896    0.00125107
          8390          6000   4.23675e+07        2206.14   0.000224001       0.697211    0.00124337
          8440          6000   4.24773e+07        2185.22   0.000225032       0.695987    0.00123579
          8490          6000   4.25861e+07        2166.58   0.000226064       0.695233    0.00122832
          8540          6000    4.2694e+07        2149.96   0.000227096         0.6949    0.00122095
          8590          6000   4.28011e+07        2135.15   0.000228129       0.694942    0.00121368
          8640          6000   4.29075e+07        2121.94   0.000229163       0.695322    0.00120651
          8690          6000   4.30133e+07        2110.17   0.000230197       0.696002    0.00119944
          8740          6000   4.31186e+07        2099.67   0.000231233       0.696953    0.00119246
          8790          6000   4.32233e+07        2090.31    0.00023227       0.698145    0.00118556
          8840          6000   4.33276e+07        2081.98   0.000233308       0.699555    0.00117876
          8890          6000   4.34315e+07        2074.55   0.000234347        0.70116    0.00117204
          8940          6000   4.35351e+07        2067.93   0.000235387        0.70294     0.0011654
          8990          6000   4.36383e+07        2062.03   0.000236428       0.704877    0.00115885
          9040          6000   4.37413e+07        2056.79   0.000237471       0.706955    0.00115237
          9090          6000    4.3844e+07        2052.12   0.000238515        0.70916    0.00114597
          9140          6000   4.39465e+07        2047.97    0.00023956        0.71148    0.00113965
          9190          6000   4.40488e+07        2044.29   0.000240607       0.713902    0.00113339
          9240          6000    4.4151e+07        2041.01   0.000241655       0.716417    0.00112721
          9290          6000   4.42529e+07        2038.11   0.000242705       0.719016     0.0011211
          9340          6000   4.43548e+07        2035.54   0.000243756        0.72169    0.00111506
          9390          6000   4.44565e+07        2033.26   0.000244809       0.724431    0.00110909
          9440          6000   4.45581e+07        2031.25   0.000245864       0.727234    0.00110318
          9490          6000   4.46596e+07        2029.47    0.00024692       0.730092    0.00109734
          9540          6000    4.4761e+07        2027.91   0.000247977       0.733001    0.00109156
          9590          6000   4.48624e+07        2026.53   0.000249037       0.735954    0.00108584
          9640          6000   4.49637e+07        2025.32   0.000250098       0.738948    0.00108018
          9690          6000   4.50649e+07        2024.27   0.000251161       0.741979    0.00107459
          9740          6000   4.51661e+07        2023.34   0.000252225       0.745044    0.00106905
          9790          6000   4.52673e+07        2022.54   0.000253292       0.748139    0.00106357
          9840          6000   4.53684e+07        2021.84    0.00025436       0.751262    0.00105815
          9890          6000   4.54695e+07        2021.24    0.00025543        0.75441    0.00105279
          9940          6000   4.55705e+07        2020.72   0.000256502       0.757581    0.00104748
          9990          6000   4.56715e+07        2020.27   0.000257576       0.760772    0.00104222
         10040          6000   4.57725e+07        2019.89   0.000258553       0.763687    0.00103702
         10090          6000   4.58735e+07        2019.57   0.000259507       0.766541    0.00103187
         10140          6000   4.59745e+07         2019.3   0.000260461       0.769408    0.00102677
         10190          6000   4.60755e+07        2019.08   0.000261416       0.772287    0.00102172
         10240          6000   4.61764e+07        2018.89   0.000262371       0.775175    0.00101672
         10290          6000   4.62773e+07        2018.74   0.000263327       0.778072    0.00101177
         10340          6000   4.63783e+07        2018.63   0.000264284       0.780978    0.00100687
         10390          6000   4.64792e+07        2018.54   0.000265242        0.78389    0.00100202
         10440          6000   4.65801e+07        2018.47     0.0002662       0.786809   0.000997213
         10490          6000   4.66811e+07        2018.42    0.00026716       0.789733   0.000992453
         10540          6000    4.6782e+07        2018.39    0.00026812       0.792662   0.000987739
         10590          6000   4.68829e+07        2018.38   0.000269081       0.795596    0.00098307
         10640          6000   4.69838e+07        2018.37   0.000270042       0.798533   0.000978445
         10690          6000   4.70847e+07        2018.38   0.000271005       0.801474   0.000973864
         10740          6000   4.71857e+07         2018.4   0.000271968       0.804419   0.000969325
         10790          6000   4.72866e+07        2018.42   0.000272932       0.807366   0.000964829
         10840          6000   4.73875e+07        2018.45   0.000273897       0.810317   0.000960375
         10890          6000   4.74884e+07        2018.49   0.000274863       0.813269   0.000955962
         10940          6000   4.75893e+07        2018.53    0.00027583       0.816224   0.000951589
         10990          6000   4.76903e+07        2018.57   0.000276798       0.819181   0.000947257
         11040          6000   4.77912e+07        2018.62   0.000277766       0.822141   0.000942963
         11090          6000   4.78921e+07        2018.66   0.000278736       0.825102   0.000938709
         11140          6000   4.79931e+07        2018.71   0.000279706       0.828065   0.000934493
         11190          6000    4.8094e+07        2018.76   0.000280678        0.83103   0.000930315
         11240          6000   4.81949e+07        2018.81    0.00028165       0.833997   0.000926174
         11290          6000   4.82959e+07        2018.86   0.000282624       0.836966    0.00092207
         11340          6000   4.83968e+07         2018.9   0.000283598       0.839937   0.000918003
         11390          6000   4.84978e+07        2018.95   0.000284574       0.842909   0.000913971
         11440          6000   4.85987e+07        2018.99   0.000285551       0.845884   0.000909974
         11490          6000   4.86997e+07        2019.04   0.000286528       0.848861   0.000906013
         11540          6000   4.88006e+07        2019.08   0.000287507        0.85184   0.000902086
         11590          6000   4.89016e+07        2019.13   0.000288487       0.854821   0.000898192
         11640          6000   4.90025e+07        2019.17   0.000289467       0.857805   0.000894333
         11690          6000   4.91035e+07        2019.21   0.000290449        0.86079   0.000890506
         11740          6000   4.92045e+07        2019.25   0.000291432       0.863779   0.000886712
         11790          6000   4.93054e+07        2019.28   0.000292416        0.86677   0.000882951
         11840          6000   4.94064e+07        2019.32   0.000293402       0.869763   0.000879221
         11890          6000   4.95074e+07        2019.36   0.000294388        0.87276   0.000875522
         11940          6000   4.96083e+07        2019.39   0.000295376       0.875759   0.000871855
         11990          6000   4.97093e+07        2019.43   0.000296365       0.878762   0.000868218
         12040          6000   4.98103e+07        2019.46   0.000297355       0.881768   0.000864612
         12090          6000   4.99112e+07        2019.49   0.000298346       0.884777   0.000861035
         12140          6000   5.00122e+07        2019.53   0.000299338       0.887789   0.000857488
         12190          6000   5.01132e+07        2019.56   0.000300332       0.890806    0.00085397
         12240          6000   5.02142e+07         2019.6   0.000301327       0.893825   0.000850481
         12290          6000   5.03152e+07        2019.63   0.000302323       0.896849    0.00084702
         12340          6000   5.04161e+07        2019.66    0.00030332       0.899877   0.000843588
         12390          6000   5.05171e+07         2019.7   0.000304319       0.902909   0.000840183
         12440          6000   5.06181e+07        2019.74   0.000305319       0.905945   0.000836805
         12490          6000   5.07191e+07        2019.77    0.00030632       0.908985   0.000833455
         12540          6000   5.08201e+07        2019.81   0.000307322       0.912031   0.000830131
         12590          6000   5.09211e+07        2019.85   0.000308326        0.91508   0.000826834
         12640          6000   5.10221e+07        2019.89   0.000309332       0.918135   0.000823563
         12690          6000   5.11231e+07        2019.93   0.000310338       0.921194   0.000820317
         12740          6000   5.12241e+07        2019.98   0.000311346       0.924259   0.000817097
         12790          6000   5.13251e+07        2020.02   0.000312355       0.927328   0.000813903
         12840          6000   5.14261e+07        2020.07   0.000313366       0.930403   0.000810733
         12890          6000   5.15271e+07        2020.12   0.000314378       0.933484   0.000807588
         12940          6000   5.16281e+07        2020.17   0.000315392       0.936569   0.000804467
         12990          6000   5.17291e+07        2020.23   0.000316407       0.939661    0.00080137
         13040          6000   5.18301e+07        2020.28   0.000317423       0.942758   0.000798297
         13090          6000   5.19311e+07        2020.34   0.000318441       0.945861   0.000795247
         13140          6000   5.20321e+07        2020.41    0.00031946       0.948971   0.000792221
         13190          6000   5.21332e+07        2020.47   0.000320481       0.952086   0.000789218
         13240          6000   5.22342e+07        2020.54   0.000321503       0.955207   0.000786237
         13290          6000   5.23352e+07        2020.61   0.000322527       0.958335   0.000783279
         13340          6000   5.24362e+07        2020.69   0.000323552       0.961469   0.000780343
         13390          6000   5.25373e+07        2020.76   0.000324579        0.96461   0.000777428
         13440          6000   5.26383e+07        2020.85   0.000325607       0.967757   0.000774536
         13490          6000   5.27394e+07        2020.93   0.000326637       0.970911   0.000771665
         13540          6000   5.28404e+07        2021.02   0.000327668       0.974072   0.000768815
         13590          6000   5.29415e+07        2021.11   0.000328701        0.97724   0.000765986
         13640          6000   5.30425e+07        2021.21   0.000329736       0.980415   0.000763178
         13690          6000   5.31436e+07        2021.31   0.000330772       0.983597   0.000760391
         13740          6000   5.32447e+07        2021.41    0.00033181       0.986786   0.000757624
         13790          6000   5.33457e+07        2021.52   0.000332849       0.989982   0.000754877
         13840          6000   5.34468e+07        2021.63   0.000333891       0.993186   0.000752149
         13890          6000   5.35479e+07        2021.74   0.000334933       0.996397   0.000749442
         13940          6000    5.3649e+07        2021.86   0.000335978       0.999615   0.000746753
         13990          6000   5.37501e+07        2021.98   0.000337024        1.00284   0.000744084
         14040          6000   5.38512e+07        2022.11   0.000338071        1.00608   0.000741434
         14090          6000   5.39523e+07        2022.24   0.000339121        1.00932   0.000738803
         14140          6000   5.40534e+07        2022.37   0.000340172        1.01257   0.000736191
         14190          6000   5.41545e+07        2022.51   0.000341225        1.01582   0.000733596
         14240          6000   5.42557e+07        2022.65   0.000342279        1.01909    0.00073102
         14290          6000   5.43568e+07         2022.8   0.000343336        1.02236   0.000728463
         14340          6000   5.44579e+07        2022.95   0.000344394        1.02564   0.000725922
         14390          6000   5.45591e+07         2023.1   0.000345454        1.02893     0.0007234
         14440          6000   5.46602e+07        2023.26   0.000346515        1.03223   0.000720895
         14490          6000   5.47614e+07        2023.42   0.000347579        1.03553   0.000718407
         14540          6000   5.48626e+07        2023.59   0.000348644        1.03885   0.000715937
         14590          6000   5.49638e+07        2023.76   0.000349711        1.04217   0.000713483
         14640          6000    5.5065e+07        2023.93    0.00035078         1.0455   0.000711046
         14690          6000   5.51662e+07        2024.11   0.000351851        1.04884   0.000708626
         14740          6000   5.52674e+07        2024.29   0.000352924        1.05218   0.000706222
         14790          6000   5.53686e+07        2024.48   0.000353998        1.05554   0.000703835
         14840          6000   5.54698e+07        2024.66   0.000355075         1.0589   0.000701463
         14890          6000   5.55711e+07        2024.86   0.000356153        1.06228   0.000699108
         14940          6000   5.56723e+07        2025.05   0.000357233        1.06566   0.000696768
         14990          6000   5.57736e+07        2025.25   0.000358315        1.06905   0.000694444
           290          6500      -8240.91        1010.97   1.90975e-05      0.0279961     0.0777735
           340          6500       42375.1        1013.97    2.1051e-05      0.0309442     0.0663362
           390          6500         93188        1018.88   2.30652e-05      0.0340577     0.0578316
           440          6500        144296        1025.77    2.5077e-05      0.0372604     0.0512598
           490          6500        195795        1034.43   2.71027e-05      0.0405847     0.0460292
           540          6500        247763        1044.54   2.91351e-05      0.0440255     0.0417672
           590          6500        300266        1055.72    3.1198e-05      0.0476119     0.0382276
           640          6500        353347         1067.6   3.29939e-05      0.0508849     0.0352411
           690          6500        407031        1079.81   3.47126e-05      0.0541133     0.0326874
           740          6500        461329        1092.06    3.6432e-05      0.0574018     0.0304788
           790          6500        516234        1104.11   3.81568e-05      0.0607461     0.0285498
           840          6500        571734         1115.8   3.98915e-05      0.0641434     0.0268504
           890          6500        627807        1127.03     4.164e-05      0.0675937     0.0253419
           940          6500        684430        1137.82   4.34062e-05      0.0711009     0.0239939
           990          6500        741582        1148.25   4.51937e-05      0.0746745     0.0227821
          1040          6500        799250        1158.36   4.66585e-05      0.0777459     0.0216868
          1090          6500        857411        1168.01   4.80281e-05      0.0806696      0.020692
          1140          6500        916045        1177.28   4.93873e-05      0.0835873     0.0197845
          1190          6500        975135        1186.26   5.07375e-05      0.0865051     0.0189532
          1240          6500   1.03467e+06        1195.02     5.208e-05      0.0894292      0.018189
          1290          6500   1.09463e+06        1203.63   5.34159e-05       0.092366      0.017484
          1340          6500   1.15503e+06        1212.18   5.47463e-05      0.0953227     0.0168316
          1390          6500   1.21585e+06        1220.72   5.60722e-05      0.0983075     0.0162261
          1440          6500    1.2771e+06        1229.35   5.73944e-05       0.101331     0.0156627
          1490          6500   1.33879e+06        1238.15   5.87138e-05       0.104406     0.0151371
          1540          6500   1.40092e+06        1247.25   6.00312e-05       0.107553     0.0146456
          1590          6500   1.46352e+06        1256.82   6.13471e-05         0.1108     0.0141849
          1640          6500   1.52662e+06        1267.08   6.26624e-05       0.114184     0.0137523
          1690          6500   1.59025e+06        1278.35   6.39777e-05       0.117759     0.0133453
          1740          6500   1.65447e+06        1291.01   6.52936e-05       0.121597     0.0129615
          1790          6500   1.71938e+06         1305.6   6.66108e-05       0.125798     0.0125989
          1840          6500   1.78508e+06        1322.78     6.793e-05       0.130487     0.0122558
          1890          6500   1.85172e+06        1343.39   6.92519e-05       0.135827     0.0119306
          1940          6500   1.91949e+06        1368.41   7.05775e-05       0.142024     0.0116216
          1990          6500   1.98865e+06        1399.07   7.19076e-05       0.149329     0.0113275
          2040          6500   2.05951e+06        1436.77   7.30567e-05       0.157579     0.0110471
          2090          6500   2.13247e+06        1483.11   7.41572e-05       0.167388     0.0107791
          2140          6500     2.208e+06        1539.89    7.5256e-05       0.179245     0.0105223
          2190          6500   2.28667e+06        1609.09   7.63548e-05       0.193573     0.0102756
          2240          6500   2.36915e+06        1692.81   7.74552e-05       0.210833     0.0100381
          2290          6500   2.45623e+06        1793.21   7.85593e-05       0.231511    0.00980858
          2340          6500   2.54878e+06        1912.43   7.96694e-05         0.2561    0.00958614
          2390          6500   2.64782e+06        2052.49   8.07881e-05       0.285075    0.00936981
          2440          6500   2.75441e+06        2215.12   8.19182e-05       0.318856    0.00915867
          2490          6500   2.86973e+06        2401.54   8.30628e-05       0.357764    0.00895185
          2540          6500   2.99497e+06         2612.3   8.42251e-05       0.401967    0.00874856
          2590          6500   3.13135e+06         2846.9   8.54084e-05       0.451413    0.00854808
          2640          6500   3.28003e+06        3103.55   8.66159e-05       0.505755     0.0083498
          2690          6500   3.44202e+06        3378.79   8.78504e-05       0.564278    0.00815325
          2740          6500   3.61813e+06        3667.13   8.91145e-05        0.62582    0.00795812
          2790          6500   3.80882e+06        3960.79   9.04097e-05        0.68872    0.00776431
          2840          6500   4.01413e+06        4249.55   9.17366e-05       0.750797    0.00757192
          2890          6500   4.23349e+06        4520.85   9.30947e-05       0.809386    0.00738132
          2940          6500   4.46568e+06        4760.25   9.44817e-05       0.861459    0.00719308
          2990          6500   4.70873e+06        4952.44   9.58941e-05       0.903849    0.00700801
          3040          6500   4.95989e+06        5082.77   9.73268e-05       0.933575     0.0068271
          3090          6500   5.21577e+06        5139.24   9.87734e-05       0.948248    0.00665143
          3140          6500   5.47246e+06        5114.63   0.000100227       0.946493     0.0064821
          3190          6500   5.72587e+06        5008.32    0.00010168       0.928272    0.00632011
          3240          6500   5.97204e+06        4827.09   0.000103126       0.895018    0.00616626
          3290          6500   6.20755e+06        4584.58   0.000104559       0.849492    0.00602111
          3340          6500   6.42978e+06        4299.28   0.000105974       0.795377    0.00588488
          3390          6500   6.63711e+06        3991.67   0.000107368       0.736715    0.00575748
          3440          6500    6.8289e+06        3681.21   0.000108741       0.677334    0.00563856
          3490          6500   7.00545e+06        3384.09   0.000110092        0.62042    0.00552755
          3540          6500   7.16773e+06        3111.99   0.000111423       0.568291    0.00542378
          3590          6500   7.31719e+06        2872.04   0.000112736       0.522384     0.0053265
          3640          6500   7.45553e+06        2667.43   0.000114032       0.483382    0.00523498
          3690          6500   7.58453e+06        2498.46   0.000115314       0.451408    0.00514851
          3740          6500   7.70594e+06        2363.59   0.000116585       0.426225    0.00506647
          3790          6500   7.82141e+06        2260.28   0.000117846       0.407399    0.00498829
          3840          6500   7.93245e+06        2185.67     0.0001191       0.394429    0.00491348
          3890          6500   8.04041e+06        2136.97   0.000120348       0.386826    0.00484162
          3940          6500   8.14654e+06         2111.7   0.000121591       0.384159    0.00477234
          3990          6500   8.25194e+06        2107.81   0.000122832       0.386083    0.00470532
          4040          6500   8.35765e+06        2123.71   0.000123927       0.392144    0.00464031
          4090          6500   8.46462e+06        2158.26   0.000124981       0.402243    0.00457705
          4140          6500   8.57377e+06        2210.71    0.00012603       0.416337    0.00451535
          4190          6500   8.68598e+06        2280.69   0.000127075       0.434414      0.004455
          4240          6500   8.80213e+06        2368.12   0.000128117       0.456525    0.00439584
          4290          6500   8.92309e+06        2473.18   0.000129156       0.482776    0.00433773
          4340          6500   9.04975e+06        2596.28   0.000130194       0.513321     0.0042805
          4390          6500   9.18303e+06        2738.03   0.000131229       0.548351    0.00422402
          4440          6500   9.32388e+06        2899.17   0.000132263       0.588088    0.00416818
          4490          6500   9.47328e+06        3080.56   0.000133297        0.63278    0.00411283
          4540          6500   9.63229e+06        3283.18    0.00013433       0.682691    0.00405788
          4590          6500   9.80197e+06        3508.08   0.000135363       0.738099     0.0040032
          4640          6500   9.98348e+06        3756.33   0.000136397       0.799281    0.00394869
          4690          6500    1.0178e+07        4029.07   0.000137432       0.866514    0.00389425
          4740          6500   1.03868e+07        4327.39   0.000138468       0.940061    0.00383977
          4790          6500   1.06112e+07         4652.4   0.000139507        1.02016    0.00378516
          4840          6500   1.08525e+07         5005.1   0.000140548        1.10703    0.00373035
          4890          6500   1.11122e+07        5386.44   0.000141593        1.20083    0.00367523
          4940          6500   1.13917e+07        5797.21   0.000142642        1.30167    0.00361975
          4990          6500   1.16924e+07        6238.01   0.000143697         1.4096    0.00356383
          5040          6500    1.2016e+07         6709.2   0.000144717        1.52407    0.00350743
          5090          6500   1.23638e+07        7210.86   0.000145734        1.64523    0.00345049
          5140          6500   1.27375e+07        7742.67   0.000146759        1.77293    0.00339298
          5190          6500   1.31386e+07        8303.86   0.000147794        1.90676    0.00333489
          5240          6500   1.35684e+07        8893.12   0.000148838        2.04615    0.00327621
          5290          6500   1.40283e+07        9508.47   0.000149895        2.19036    0.00321696
          5340          6500   1.45196e+07        10147.2   0.000150966        2.33845    0.00315717
          5390          6500   1.50434e+07        10805.7   0.000152052        2.48929    0.00309688
          5440          6500   1.56005e+07        11479.5   0.000153155        2.64151    0.00303617
          5490          6500   1.61915e+07        12162.8   0.000154276        2.79352    0.00297512
          5540          6500   1.68168e+07          12849   0.000155417        2.94352    0.00291385
          5590          6500   1.74763e+07        13529.9    0.00015658        3.08949    0.00285249
          5640          6500   1.81696e+07        14196.5   0.000157766        3.22921    0.00279119
          5690          6500   1.88955e+07        14838.3   0.000158975        3.36032     0.0027301
          5740          6500   1.96528e+07        15444.1   0.000160209        3.48036    0.00266941
          5790          6500   2.04392e+07        16001.6   0.000161469        3.58684    0.00260932
          5840          6500   2.12519e+07        16498.3   0.000162754        3.67733    0.00255002
          5890          6500   2.20878e+07        16921.6   0.000164064        3.74958    0.00249172
          5940          6500   2.29427e+07        17259.6   0.000165398        3.80158    0.00243463
          5990          6500   2.38121e+07        17501.4   0.000166756        3.83173    0.00237893
          6040          6500    2.4691e+07        17638.1   0.000168077        3.83686    0.00232483
          6090          6500   2.55741e+07        17663.1   0.000169399        3.81799    0.00227247
          6140          6500   2.64554e+07        17573.1   0.000170734        3.77579    0.00222203
          6190          6500   2.73294e+07        17367.8   0.000172077        3.71107    0.00217361
